TCM_symptom_id,TCM_symptom_name,Symptom_pinYin,Symptom_definition,Symptom_locus,Symptom_property,Type,Version,Suppress
1922,无痰,Wu Tan,,,,Ontological terms,v2,0
1923,早期肝硬化,Zao Qi Gan Ying Hua,,,,Ontological terms,v2,0
1924,早衰,Zao Shuai,早衰，与正常人相比提前衰老。《素问·阴阳应象大论》：“能知七损八益，则二者可调。不知用此，早衰之节也。”,,,Ontological terms,v2,0
1925,时疫,Shi Yi,①即疫、瘟疫。见《温疫论》。因疠气疫毒从口鼻传入所致，有强烈传染性。《不知医必要·时疫》：“此症有由感不正之气而得者，或头痛，发热，或颈肿，发颐，此在天之疫也。若一人病，染及一室，一室之病，染及一乡、一邑。”其证憎寒壮热，口吐黄涎，甚者痓厥谵狂。治宜疏利、解秽、清中、攻下等法。参见瘟疫、疫条。,,,Ontological terms,v2,0
1926,时疫感冒,Shi Yi Gan Mao,,,,Ontological terms,v2,0
1927,昏花,Hun Hua,,,,Ontological terms,v2,0
1928,昏迷不醒,Hun Mi Bu Xing,,,,Ontological terms,v2,0
1929,晐嗽,Gai Sou,,,,Ontological terms,v2,0
1930,暑湿吐泻,Shu Shi Tu Xie,便次增多，便质稀薄，甚至便稀如水样,消化道,内伤饮食、感受外邪、脾气虚、脾阳虚、肝郁乘脾,Ontological terms,v2,0
1931,暑热烦渴,Shu Re Fan Ke,口干渴而喜饮，饮水量多、次频而不解 渴,,外感热病阳明经证、风热疫毒证、胃热津伤证、津 气亏虚证,Ontological terms,v2,0
1932,术后出血,Zhu Hou Chu Xie,创口有血液流出,有创伤口,创伤开放,Ontological terms,v2,0
1933,杨梅疮,Yang Mei Chuang,,,,Ontological terms,v2,0
1934,梅核气,Mei He Qi,自觉咽喉部似有物梗阻不适，咯之不 出，咽之不下，但并不妨碍进食,咽喉,心脾两虚证、肝气郁 结证、肝郁脾虚证、肝胃不和证、阴虚肝郁证,Ontological terms,v2,0
1935,梅毒,Mei Du,梅毒是由苍白螺旋体即梅毒螺旋体引起的一种慢性性传播疾病。可以侵犯皮肤、粘膜及其他多种组织器官，可有多种多样的临床表现，病程中有时呈无症状的潜伏状态。梅毒也称霉疮，广疮，棉花疮，杨梅疮。,,,Ontological terms,v2,0
1936,死肌,Si Ji,症名。指肌肉麻木不仁、活动不灵。《神农本草经》卷二：“雄黄……主死肌。”“云母，味甘平，主身皮死肌……”参见不仁、肌肤不仁、皮肤不仁条。,,,Ontological terms,v2,0
1937,毒虫螫伤,Du Chong Shi Shang,身体某部位出现咬伤牙痕,皮肤,,Ontological terms,v2,0
1938,气喘痰多,Qi Chuan Tan Duo,,,,Ontological terms,v2,0
1939,气管炎,Qi Guan Yan,呼吸困难，气息迫促，声高息粗,肺,表寒肺热证、痰热壅肺证、痰气互结证，或肺炎咳嗽,Ontological terms,v2,0
1940,水气肿满,Shui Qi Zhong Man,通身或局部肿胀,通身或局部,风寒袭肺证、风热犯肺证、水湿困脾证、脾阳虚 证、肾阳虚证、气血两虚证,Ontological terms,v2,0
1941,水火烫伤,Shui Huo Tang Shang,烧、烫伤创面起水泡，见于II度 烧伤,皮肤,,Ontological terms,v2,0
1942,水肿尿少,Shui Zhong Niao Shao,尿次、尿量明显少于正常,泌尿道,热盛伤津、 汗下伤津,Ontological terms,v2,0
1943,水肿胀满,Shui Zhong Zhang Man,,,,Ontological terms,v2,0
1944,水肿胀满尿少,Shui Zhong Zhang Man Niao Shao,,,,Ontological terms,v2,0
1945,水肿臌胀,Shui Zhong Gu Zhang,腹部胀大,腹部,肝气郁结证、气滞湿阻证,Ontological terms,v2,0
1946,泄泻痢疾,Xie Xie Li Ji,便白如胶冻，或红如瓜瓢，或红白相 杂如鱼脑,下消化道,胃肠湿热证、肠道寒湿证、暑入厥阴、下焦 虚寒证、阴虚内热证、肠道瘀滞证、脾虚湿热证、肝郁脾虚 证、痰瘀互结证,Ontological terms,v2,0
1947,泛酸,Fan Suan,,,,Ontological terms,v2,0
1948,泻痢后重,Xie Li Hou Zhong,,,,Ontological terms,v2,0
1949,泻血,Xie Xie,先血后便，或先便后血，或便血杂下，或单 纯便血,肠道,肠风络伤证、肠道湿热证、肝肾阴虚证、脾肾 阳虚证、脾虚气陷证、血热动血证、肝胃热盛证、瘀滞胃肠 证、热毒蕴肠证、肠道瘀滞证,Ontological terms,v2,0
1950,津伤口渴,Jin Shang Kou Ke,口干渴而喜饮，饮水量多、次频而不解 渴,,外感热病阳明经证、风热疫毒证、胃热津伤证、津 气亏虚证,Ontological terms,v2,0
1951,流涎,Liu Xian,清稀黏液自口角流岀，不能自控,口腔,风痰入络证、脾虚不摄证、肾虚不摄证、脾胃积热证、风邪 袭络证、湿热蒸口证,Ontological terms,v2,0
1952,淋巴结核,Lin Ba Jie He,淋巴结核，中医称之为瘰疬，是体现于肌表的毒块组织，是由肝肺两方面的痰毒热毒凝聚所成。西医则指，人体内有专事于清毒杀毒从而保护血管组织的淋巴系统，遭遇来自体内外无法清除杀灭的毒菌，凝聚和集结于肌表组织形成的毒瘤。,,,Ontological terms,v2,0
1953,淋巴结炎,Lin Ba Jie Yan,在人们生活中常有人在患感冒或其它感染后，颈部、耳后、腋下或腹股沟处可出现如玻璃球大小的结节，局部红肿压痛，按之坚硬，这就是患了淋巴结炎。,,,Ontological terms,v2,0
1954,淋巴结结核,Lin Ba Jie Jie He,淋巴结结核发病原因有两种：一种是结核肝菌通过上呼吸道或随食物在口腔及鼻咽部尤其是扁桃体腺引起的原发灶上感染。后沿淋巴管到达颈部浅深层淋巴结。各部位多为单侧性淋巴结。受累咽部。重发病以上吸收后受累淋巴结核仍继续发展形成冷脓肿或溃疡。,,,Ontological terms,v2,0
1955,淋巴结肿痛,Lin Ba Jie Zhong Tong,,,,Ontological terms,v2,0
1956,淋沥涩痛,Lin Li Se Tong,,,,Ontological terms,v2,0
1957,淋病,Lin Bing,小便排出带血，呈鲜红色,泌尿道,心火亢 盛证、肝肾阴虚证、膀胱湿热证、下焦湿热证,Ontological terms,v2,0
1958,淋病水肿,Lin Bing Shui Zhong,尿次、尿量明显少于正常,泌尿道,热盛伤津、 汗下伤津,Ontological terms,v2,0
1959,温疫时毒,Wen Yi Shi Du,,,,Ontological terms,v2,0
1960,温病,Wen Bing,①多指温热病之泛称。出《素问·六元正纪大论》。症见身热、头痛、呕吐等，但《经》多以“病温”为名。如《素问·生气通天论》：“冬伤于寒，春必病温。”《灵枢·论疾诊尺》：“尺肤热甚，脉盛躁者，病温也。”《素问·评热病论》：“有病温者，汗出辄复热而脉躁疾，不为汗衰，狂言，不能食，病名阴阳交，……”温病具有起病急，热势甚，传变快，易于伤津化燥伤津的特点。当按卫气营血与三焦辨证法辨证论治。分别选用（或合用）解表、疏卫、清气、凉营、凉血、和解、育阴生津、通下、开窍、息风、回阳固脱、通下等法。温热病大致包括风温、春温、暑温、秋温、冬温、秋燥、温毒、伏气温病、温疟、晚发。详见有关各条。,,,Ontological terms,v2,0
1961,湿热带下,Shi Re Dai Xia,妇女阴道分泌物明显增多，色、质、气味异常,阴道,肾阳虚证、脾虚湿困证、胞宫虚寒证、胞宫湿 热证,Ontological terms,v2,0
1962,湿热泻痢,Shi Re Xie Li,腹痛窘迫，时时欲便，肛门重坠，便出 不爽,肠道,肠道寒湿证、肝郁脾虚证、痰瘀互结证、脾虚湿 热证、肝郁气滞证、肠道瘀滞证、肠道湿热证,Ontological terms,v2,0
1963,湿热淋证,Shi Re Lin Zheng,,,,Ontological terms,v2,0
1964,湿热疮满,Shi Re Chuang Man,,,,Ontological terms,v2,0
1965,湿热痢疾,Shi Re Li Ji,,,,Ontological terms,v2,0
1966,湿热黄疸,Shi Re Huang Dan,全身皮肤发黄,皮肤,肝胆湿热证、脾虚证,Ontological terms,v2,0
1967,湿疹疥癣,Shi Zhen Jie Xian,皮肤产生痒感而欲搔抓，但无原发皮肤 损害,皮肤,湿热证、风湿化热证、血虚风燥证、风寒化热 证、风邪犯表证,Ontological terms,v2,0
1968,湿痹,Shi Bi,四肢、躯干肌肉及关节疼痛,肢体,外感风 寒证、风温证、风湿证、水湿停聚证,Ontological terms,v2,0
1969,湿痹病,Shi Bi Bing,,,,Ontological terms,v2,0
1970,溃疡,Kui Yang,溃疡，病证名。《周礼·天官》：“疡医下士八人，掌肿疡、溃疡……”中医习惯上把自溃或切开的疮面统称为溃疡，有别于现代医学所指缺乏愈合倾向的疮面为溃疡的含义。中医溃疡多属虚证。治宜调补气血，醒脾健胃，组方可用十全大补汤、人参养荣汤等；外治可用各类去腐生肌散（膏）。如溃后仍焮肿而痛者，为热毒未尽，应以清热解毒为主。证治可参见痈、疽、疮疡各条。,,,Ontological terms,v2,0
1971,滴虫性阴道炎,Di Chong Xing Yin Dao Yan,"妇女阴道中排出分泌物，浑浊如米潜, 闻之秽臭",阴道,湿毒证、胞宫湿热证,Ontological terms,v2,0
1972,漏下,Lou Xia,子宫岀血量少而势缓，淋漓不尽,子宫,肾虚证、血瘀证、冲任不固证,Ontological terms,v2,0
1973,澹语,Dan Yu,,,,Ontological terms,v2,0
1974,火毒疮疡,Huo Du Chuang Yang,,,,Ontological terms,v2,0
1975,炎症,Yan Zheng,炎症（inflammation）就是平时所说的“发炎”，是生物组织受到某种刺激如外伤、感染等损伤因子的刺激所发生的一种以防御反应为主的基本病理过程。炎症的局部表现为红、肿、热、痛和功能障碍，也伴有发热、末梢血白细胞计数改变等全身反应。通常情况下，炎症是有益的，是人体的自动的防御反应（虽然病人可能感觉到疼痛等不适）。但是有的时候，炎症也是有害的，例如对人体自身组织的攻击、发生在透明组织的炎症等等。,,,Ontological terms,v2,0
1976,炭疽,Tan Ju,炭疽是由炭疽芽孢杆菌（Bacillus authracis）引起的传染性疾病。该病是牛、马、羊等动物传染病，但偶尔也可传染给从事皮革、畜牧工作的人员，该细菌由Robert Koch在1877年首次发现。,,,Ontological terms,v2,0
1977,烂喉丹痧,Lan Hou Dan Sha,咽喉，或咽，或喉部位疼痛,咽喉,外感风 热证、风温证、阴虚证、气阴两虚证,Ontological terms,v2,0
1978,烦热口渴,Fan Re Kou Ke,口干渴而喜饮，饮水量多、次频而不解 渴,,外感热病阳明经证、风热疫毒证、胃热津伤证、津 气亏虚证,Ontological terms,v2,0
1979,烧伤,Shao Shang,"烧、烫伤部皮肤呈深红色, 或红肿，感觉过敏",皮肤,,Ontological terms,v2,0
1980,烧烫伤,Shao Tang Shang,烧、烫伤创面起水泡,皮肤,,Ontological terms,v2,0
1981,烫伤,Tang Shang,烫伤常见低热烫伤，低热烫伤又可称为低温烫伤。是因为皮肤长时间接触高于体温的低热物体而造成的烫伤。烫伤后轻则局部红斑，次则水疱，重则皮肉焦黑或筋骨外露，损及脏腑。属中医“水火烫伤”范畴。,,,Ontological terms,v2,0
1982,烫火伤,Tang Huo Shang,烧、烫伤部有皮肤脱落,皮肤,,Ontological terms,v2,0
1983,热毒疮疡,Re Du Chuang Yang,病证名。出《证治准绳·幼科》。为热毒蕴积而引起疮疡。临床表现以局部出现焮红、作痛、发肿、发痛。热毒炽盛，累及脏腑则可出现里热的证候，如烦热、便秘等。治宜清热解毒，如仙方活命饮、五味消毒饮之类。,,,Ontological terms,v2,0
1984,热毒痈肿,Re Du Yong Zhong,疮痈肿势高突,皮肤,热毒蕴结证、风热 痰毒证,Ontological terms,v2,0
1985,热淋,Re Lin,小便排出带血，呈鲜红色,泌尿道,心火亢 盛证、肝肾阴虚证、膀胱湿热证、下焦湿热证,Ontological terms,v2,0
1986,热病烦躁,Re Bing Fan Zao,自觉发热，伴心胸烦闷，烦躁不安,心胸,热结胸胁,Ontological terms,v2,0
1987,热病痰多,Re Bing Tan Duo,痰量多，质地粘稠,肺,痰热壅肺证、 痰浊阻肺证,Ontological terms,v2,0
1988,热痹,Re Bi,热痹，病名。热毒流注关节，或内有蕴热，复感风寒湿邪，与热相搏而致的痹症。又称脉痹。出《素问·四时刺逆从论》。《证治准绳·痹》：“热痹者，脏府移热，复遇外邪，客搏经络，留而不行，阳遭其阴，故（疒帬）痹熻然而闷，肌肉热极，体上如鼠走之状，唇口反裂，皮肤色变。”并可见关节红肿热痛，发热，烦闷，口渴等症。治以清热祛邪，宣痹止痛，用白虎加桂枝汤、升麻汤。热毒盛者，用《千金要方》犀角汤加减。本病见于风湿性关节炎活动期、类风湿性关节炎及痛风急性发作期。,,,Ontological terms,v2,0
1989,热证,Re Zheng,体温超过正常，或自觉有热感,机体,热证、外感疾病,Ontological terms,v2,0
1990,焮肿,Xin Zhong,,,,Ontological terms,v2,0
1991,牙疳,Ya Gan,牙床周围组织破溃糜烂疼痛,牙龈,热毒 壅盛证、气郁痰凝证、虚火上炎证,Ontological terms,v2,0
1992,牙龈疼痛,Ya Ken Teng Tong,牙龈疼痛，常伴有牙龈红肿等,牙龈,实火 上炎证、虚热证、热毒壅盛证、风热犯表证、胃火燔齿证、 风火犯齿证,Ontological terms,v2,0
1993,牙龈肿痛出血,Ya Ken Zhong Tong Chu Xie,,,,Ontological terms,v2,0
1994,牛皮癣,Niu Pi Xian,"牛皮癣属中医病名。是一种慢性顽固性皮肤瘙痒之疾病,相当于神经性皮炎。因其好发于颈部，状如牛领之皮，厚而且坚而得名。临床特点为皮肤苔藓化，肥厚粗糙，瘙痒剧烈，病程缓慢，反复发作，常数年不愈，愈后易复发。",,,Ontological terms,v2,0
1995,狂证,Kuang Zheng,神志混乱，亢奋妄动，躁扰不宁，或打 骂呼叫,脑,火热伤阴证、痰火扰神证,Ontological terms,v2,0
1996,疔疮,Ding Chuang,发生在颜面部的急性化脓性疾患，初起 似粟，坚硬根深，状如钉丁,颜面,热毒蕴结肌肤证、火毒炽 盛证、余毒未清证、毒入营血证,Ontological terms,v2,0
1997,疔疮痈肿,Ding Chuang Yong Zhong,痈肿相互连结成块,皮肤,热毒蕴结证、 暑湿热郁证、正虚邪恋证,Ontological terms,v2,0
1998,疔疮肿毒,Ding Chuang Zhong Du,痈肿触之坚实,皮肤,寒湿凝结证、热毒 袭表证、气郁化火证,Ontological terms,v2,0
1999,疔肿,Ding Zhong,痈肿质地较硬，触之无明显痛痒,皮肤,气滞血瘀证,Ontological terms,v2,0
2000,疖肿疮疡,Jie Zhong Chuang Yang,疮疡上有脓头，可溃破流脓,皮肤,外 感风热、外感湿热、外感火毒、气滞血瘀证,Ontological terms,v2,0
2001,疗毒,Liao Du,,,,Ontological terms,v2,0
2002,疗疮,Liao Chuang,,,,Ontological terms,v2,0
2003,疝气疼痛,Shan Qi Teng Tong,,,,Ontological terms,v2,0
2004,疝气痛,Shan Qi Tong,,,,Ontological terms,v2,0
2005,疝痛,Shan Tong,男性阴囊疼痛，或伴肿胀、灼热,阴囊,寒滞肝脉证、肝郁气滞证、下焦湿热证,Ontological terms,v2,0
2006,疟母,Nve Mu,疟母，病证名。疟疾日久不愈，顽痰挟瘀结于胁下所形成的痞块。又称疟积、母疟、劳疟。《金匮要略·疟病脉证并治》：“病疟以月一日发，当以十五日愈，设不差，当月尽解。如其不差，当云何？师曰：此结为症瘕，名曰疟母。急治之，宜鳖甲煎丸。”《张氏医通》卷三：“疟母者，顽痰挟血食而结为症瘕。”治以削坚散结，破症化瘀，用鳖甲煎丸，或小柴胡加鳖甲、蓬术、桃仁。虚人久疟，时止时发，可先予芎归鳖甲饮；不应，为脾虚，急用补中益气汤加鳖甲，扶正祛邪；少食痞闷者，用四兽饮加鳖甲、当归、蓬术、肉桂。虚人疟母，必用补益。久症不愈，必有留滞，须加鳖甲消之；如无留滞，只宜补益。参见劳疟条。,,,Ontological terms,v2,0
2007,疟疾,Nve Ji,恶寒与发热交替发作，先有 恶寒，甚或寒战，随即发热，但在傍晚后加重或明显,消化道,伤寒邪入少阳、疟疾寒证,Ontological terms,v2,0
2008,疟疾寒热,Nve Ji Han Re,,,,Ontological terms,v2,0
2009,疣痣,You Zhi,女性外阴部皮肤或黏膜有大小不等的疣 赘,外阴,湿热内蕴证、湿热毒蕴证,Ontological terms,v2,0
2010,疥,Jie,患者自觉瘙痒十分剧烈，用手抓至 皮破血流仍有痒感,皮肤,,Ontological terms,v2,0
2011,疥疮,Jie Chuang,皮肤瘙痒，如虫行于皮中,皮肤,营卫 不和证,Ontological terms,v2,0
2012,疥癞,Jie Lai,皮肤出现苔癣样结节或斑块,皮肤,,Ontological terms,v2,0
2013,疥癣秃疮,Jie Xian Tu Chuang,头发干枯而黄，毫无光泽,头发,脾 胃不和证、精血亏虚证、先天不足、气血两虚证、脾气虚 证,Ontological terms,v2,0
2014,疫毒感冒,Yi Du Gan Mao,,,,Ontological terms,v2,0
2015,疮满,Chuang Man,,,,Ontological terms,v2,0
2016,疮疖,Chuang Jie,病名。指疮疡之发于体表、毒势轻浅者。,,,Ontological terms,v2,0
2017,疮疡初起,Chuang Yang Chu Qi,疮痈肿势高突,皮肤,热毒蕴结证、风热 痰毒证,Ontological terms,v2,0
2018,疮疡疥癣,Chuang Yang Jie Xian,为皮肤增厚、粗糙、皮嵴隆起、皮沟加深、干燥、局限性边界清楚的大片或小片损害,皮肤,血虚风燥、肌肤失养,Ontological terms,v2,0
2019,疮疡痈肿,Chuang Yang Yong Zhong,,,,Ontological terms,v2,0
2020,疮疡肿毒,Chuang Yang Zhong Du,,,,Ontological terms,v2,0
2021,疮疳,Chuang Gan,,,,Ontological terms,v2,0
2022,疮痈,Chuang Yong,,,,Ontological terms,v2,0
2023,疮痈肿毒,Chuang Yong Zhong Du,,,,Ontological terms,v2,0
2024,疮癞,Chuang Lai,,,,Ontological terms,v2,0
2025,疳肿,Gan Zhong,,,,Ontological terms,v2,0
2026,疹紫黑,Zhen Zi Hei,皮疹呈紫红色,皮肤,热盛、热而有瘀,Ontological terms,v2,0
2027,疼痛麻木,Teng Tong Ma Mu,,,,Ontological terms,v2,0
2028,病后虚热不退,Bing Hou Xu Re Bu Tui,,,,Ontological terms,v2,0
2029,病毒性肝炎,Bing Du Xing Gan Yan,全身皮肤发黄,皮肤,肝胆湿热证、脾虚证,Ontological terms,v2,0
2030,痈疖,Yong Jie,,,,Ontological terms,v2,0
2031,痈疖肿毒,Yong Jie Zhong Du,,,,Ontological terms,v2,0
2032,痈疮,Yong Chuang,痈疮，病名。指溃疡之一种，外痈成脓溃破后久不愈者。出《诸病源候论》卷五十。有：“热气乘之，热胜于寒，则血肉腐败，化为脓，脓溃之后，其疮不瘥，故曰痈疮。”证治详见外痈、溃疡条。,,,Ontological terms,v2,0
2033,痈疮肿毒,Yong Chuang Zhong Du,,,,Ontological terms,v2,0
2034,痈疽初起,Yong Ju Chu Qi,疮痈肿势高突,皮肤,热毒蕴结证、风热 痰毒证,Ontological terms,v2,0
2035,痈疽疮毒,Yong Ju Chuang Du,,,,Ontological terms,v2,0
2036,痈疽疮疡,Yong Ju Chuang Yang,,,,Ontological terms,v2,0
2037,痈疽脓成不溃,Yong Ju Nong Cheng Bu Kui,疮痈肿势高突,皮肤,热毒蕴结证、风热 痰毒证,Ontological terms,v2,0
2038,痈肿疔疮,Yong Zhong Ding Chuang,疮疡根脚范围小,皮肤,,Ontological terms,v2,0
2039,痈肿疮毒,Yong Zhong Chuang Du,,,,Ontological terms,v2,0
2040,痈肿痰核,Yong Zhong Tan He,痈肿质地较硬，触之无明显痛痒,皮肤,气滞血瘀证,Ontological terms,v2,0
2041,痈肿瘰疬,Yong Zhong Luo Li,痈肿相互连结成块,皮肤,热毒蕴结证、 暑湿热郁证、正虚邪恋证,Ontological terms,v2,0
2042,痈肿脓成不溃,Yong Zhong Nong Cheng Bu Kui,疮痈肿势高突,皮肤,热毒蕴结证、风热 痰毒证,Ontological terms,v2,0
2043,痔疮,Zhi Chuang,痔疮是人体直肠末端粘膜下和肛管皮肤下静脉丛发生扩张和屈曲所形成的柔软静脉团，多见于经常站立者和久坐者。包括内痔、外痔、混合痔，是肛门直肠底部及肛门粘膜的静脉丛发生曲张而形成的一个或多个柔软的静脉团的一种慢性疾病。中医认为此病多为湿热蕴结肠道，瘀毒内结，气机不畅所致。,,,Ontological terms,v2,0
2044,痔瘘,Zhi Lv,*《自我调养巧治病》- 痔瘘,,,Ontological terms,v2,0
2045,痔肿出血,Zhi Zhong Chu Xie,便血血色鲜红,肛门,肠风络伤证、血热 动血证,Ontological terms,v2,0
2046,痞块,Pi Kuai,①泛指腹内肿块。《丹溪心法·积聚痞块》：“痞块在中为痰饮，在右为食（一云“痰”），积在左为血块，气不能作块成聚，块乃有形之物也，痰与食积、死血而成也。”《杂病广要·积聚》：“大抵积块者，皆因一物为之根，而血涎裹之，乃成形如杯如盘，按之坚硬也。食积败血，脾胃有之，痰涎之积，左右皆有之。”,,,Ontological terms,v2,0
2047,痢疾肠炎,Li Ji Chang Yan,腹痛时兼有欲便感觉,肠道,肠道湿热 证、食滞胃肠证、寒湿犯表证、寒湿困脾证、脾肾阳虚证,Ontological terms,v2,0
2048,痢疾里急后重,Li Ji Li Ji Hou Zhong,腹痛窘迫，时时欲便，肛门重坠，便出 不爽,肠道,肠道寒湿证、肝郁脾虚证、痰瘀互结证、脾虚湿 热证、肝郁气滞证、肠道瘀滞证、肠道湿热证,Ontological terms,v2,0
2049,痤疮,Cuo Chuang,痤疮，俗称青春痘、粉刺、暗疮，中医古代称面疮，酒刺。是一种毛囊皮脂腺的慢性炎症性疾病，其发生主要与青春期后皮脂过多、毛囊皮脂腺导管堵塞、细菌继发感染和炎症反应等因素密切相关。其主要表现为，皮肤颜色的白头粉刺和黑头粉刺，或炎性丘疹、结节、囊肿，严重时还形成脓肿，甚至破溃流脓。,,,Ontological terms,v2,0
2050,痧,Sha,①腹痛、吐泻之因于感受秽浊不正之气，或由暑热之气或饮食壅滞于中而触发。名之曰痧，或名痧气、痧胀。以夏秋季令较为多见。《痧胀玉衡》卷上：“痧症先吐泻而心腹绞痛者，从秽气痧发者多；先心腹绞痛而吐泻者，从暑气痧发者多；心胸昏闷，痰涎胶结，从伤暑伏热痧发者多；遍身肿胀、疼痛难忍，四肢不举，舌强不言，从寒气冰伏过时，郁为火毒而发痧者多。”《急救痧症全书》卷：“痧者，厉气也，入气分则作肿作胀，入血分则为蓄为瘀，遇食积痰火则气阻血滞。《痧症全书·论痧》：“古无痧字，……惟霍乱条下有不吐泻而腹绞痛者，曰干霍乱，亦名绞肠痧，缘南方体气不实之人，偶触粪土沙秽之气，多腹痛闷乱，名之曰痧，即沙字之讹字也。”由此可见，前人或有将霍乱赅括于痧病之内者。治宜内服平安散、散痧汤、武候行军散等方；外治可用括痧法或刺法、推拿等。在饮食宜忌方面，前人有“最忌热汤热酒”之说。痧证分种，如热痧、暑痧、温痧、寒痧、阳痧、阴痧、绞肠痧等。参见有关各条及痧胀条。,,,Ontological terms,v2,0
2051,痧胀腹痛吐泻,Sha Zhang Fu Tong Tu Xie,,,,Ontological terms,v2,0
2052,痰喘肿满,Tan Chuan Zhong Man,胸部胀满，塞滞不畅,胸部,风寒束肺证、 风痰蕴肺证、气滞胸膈证、肝气郁滞证、痰热结胸证、痰湿 蕴肺证、痰阻心脉证,Ontological terms,v2,0
2053,痰嗽,Tan Sou,咳痰量多，痰白滑而易于咳出,肺,外 感风湿证、水湿内停证、脾失健运证,Ontological terms,v2,0
2054,痰核,Tan He,乳房部的结核性疾病，初起乳房内出现 一结块如桃李，不痛，边界不清，软硬不一，皮肉相连，进 展缓慢，溃后脓液稀如痰,乳房,气滞痰凝，肺肾阴虚证,Ontological terms,v2,0
2055,痰湿流注,Tan Shi Liu Zhu,肿块边界不清，呈弥漫性分布,皮肤,痰湿流注证,Ontological terms,v2,0
2056,痰热咳嗽,Tan Re Ke Sou,咳痰量多，痰白滑而易于咳出,肺,外 感风湿证、水湿内停证、脾失健运证,Ontological terms,v2,0
2057,痰热哮喘,Tan Re Xiao Chuan,张口呼吸，双肩随呼吸起落,肺,肺热喘咳,Ontological terms,v2,0
2058,痰热喘嗽,Tan Re Chuan Sou,,,,Ontological terms,v2,0
2059,痰饮喘咳,Tan Yin Chuan Ke,呼吸急促难续，喉间哨鸣有声,肺,寒痰阻 肺证、热痰阻肺证、寒热错杂证,Ontological terms,v2,0
2060,痱子,Fei Zi,痱子又称“热痱”，“红色粟粒疹”，是由于在高温闷热环境下，出汗过多，汗液蒸发不畅，导致汗管堵塞、汗管破裂，汗液外渗入周围组织而引起。,,,Ontological terms,v2,0
2061,痹疽,Bi Ju,,,,Ontological terms,v2,0
2062,痿管,Wei Guan,一侧或两侧乳房痈疡溃后形成痿管，或 伴有脓液或乳汁流出,乳房,气滞痰凝证、热毒蕴结证、正虚 毒恋证,Ontological terms,v2,0
2063,痿躄,Wei Bi,痿躄，病名。痿之又名。主要指四肢痿弱、足不能行。《素问·痿论》：“五脏因肺热叶焦，发为痿躄。”《顾氏医镜》：“言五脏之痿，皆因于肺气之热，致五脏之阴俱不足而为痿躄。五痿虽异，总曰痿躄。”参见痿条。,,,Ontological terms,v2,0
2064,瘟疫,Wen Yi,,,,Ontological terms,v2,0
2065,瘰疠,Luo Li,痈肿相互连结成块,皮肤,热毒蕴结证、 暑湿热郁证、正虚邪恋证,Ontological terms,v2,0
2066,瘰疬痰核,Luo Li Tan He,痈肿质地较硬，触之无明显痛痒,皮肤,气滞血瘀证,Ontological terms,v2,0
2067,瘰痂,Luo Jia,结核（肿大的淋巴结）累累如串珠,皮下,肾阴虚证、外感风火时毒,Ontological terms,v2,0
2068,瘿瘤,Ying Liu,颈部譽核肿大,颈部,肝郁气结证、 毒邪流窜证、气滞痰凝证、痰瘀互结证、阴虚火旺证、肝郁 痰热证、胃热脾虚证,Ontological terms,v2,0
2069,療疬,Liao Li,,,,Ontological terms,v2,0
2070,療痂,Liao Jia,,,,Ontological terms,v2,0
2071,癌痕,Ai Hen,,,,Ontological terms,v2,0
2072,癌肿,Ai Zhong,,,,Ontological terms,v2,0
2073,癌肿出血,Ai Zhong Chu Xie,瘤体疮口出血如喷射状,任何部位,,Ontological terms,v2,0
2074,癣,Xian,皮肤出现苔癣样结节或斑块,皮肤,,Ontological terms,v2,0
2075,癣疮,Xian Chuang,,,,Ontological terms,v2,0
2076,癣疾,Xian Ji,,,,Ontological terms,v2,0
2077,癥瘕结块,Zheng Jia Jie Kuai,,,,Ontological terms,v2,0
2078,癫痫发狂,Dian Xian Fa Kuang,神志失常，疯狂怒骂，或打人毁物，喧扰不 宁，或少卧不饥,神志,火热伤阴证、痰火扰神证,Ontological terms,v2,0
2079,癫痫痰盛,Dian Xian Tan Sheng,神志模糊，不省人事，甚至昏睡不醒，呼之 不应,神志,热闭心神证、痰热扰神证、痰蒙心神证、瘀阻脑 络证、暑闭心包证、燥热内结证、浊毒闭神证、肝阳化风 证、内闭外脱证,Ontological terms,v2,0
2080,癫证,Dian Zheng,突然表情淡漠，沉默呆滞，痴语无伦，多静 而少动,神志,痰气郁结证、脾虚痰湿证、心脾两虚证、阴虚 火旺证、脾肾阳虚证,Ontological terms,v2,0
2081,癲狂,Dian Kuang,,,,Ontological terms,v2,0
2082,白喉,Bai Hou,咽喉部出现白色腐膜，严重可蔓及至 鼻咽部,咽喉,虚火上炎证、肾阴亏虚证,Ontological terms,v2,0
2083,白塞病,Bai Sai Bing,口腔内肌膜破损，出现溃疡,口腔,风热 夹湿证、毒火攻心证、脾胃积热证、肝郁化火证、瘀血留滞 证、虚火灼口证、气血亏虚证,Ontological terms,v2,0
2084,白带,Bai Dai,妇女阴道分泌物色白，淋漓不断或带有 臭味,阴道,脾阳虚证、脾虚湿困证、胞宫虚寒证,Ontological terms,v2,0
2085,白带过多,Bai Dai Guo Duo,,,,Ontological terms,v2,0
2086,白浊带下,Bai Zhuo Dai Xia,,,,Ontological terms,v2,0
2087,白痢,Bai Li,大便色灰白如陶土,肠道,大肠虚寒证,Ontological terms,v2,0
